# Cumulative fraction of synaptic input volume, largest presynaptic partners first.
# Per-cell curves resampled from original presynaptic partners count onto 390 inputs.
# Dense connectome 230219a-rsg11-std-spl-edges_ariadne-20260417T142327_run-20260417T143444_connectome-20260421T131207.hdf5; synapse score > 138.6; proofread cells only.
x_inputs_resampled,spiny_median,spiny_q25,spiny_q75,smooth_median,smooth_q25,smooth_q75
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.018931468147245036,0.016342250301697676,0.02238123933994325,0.013950741786717163,0.010848149775829579,0.01646489404950418
2,0.03377387723592879,0.029885504717276093,0.03977104016452325,0.027552314237734923,0.021696299551659158,0.03247973532744386
3,0.04695459006996534,0.042262687995537083,0.054862384636637625,0.03969250511631196,0.03233497826757309,0.04787003740770668
4,0.059339341753915635,0.05367813348055159,0.06866233927320857,0.051203795665666255,0.042705531516253635,0.06300499689910966
5,0.07026171933392136,0.06445129049795076,0.08104665622430485,0.06274782288605824,0.053240801769055185,0.07768038848691883
6,0.08070593800136634,0.07459314913748477,0.09329311362257346,0.07345437776430486,0.0626926854770545,0.09290578019261472
7,0.09069192805737433,0.08435438609643826,0.10464380549341759,0.08308786715093562,0.0723133439357097,0.10733988703544603
8,0.100394171575996,0.09370540815736554,0.11509269022710139,0.09286141287398565,0.08151670126381075,0.12123255752000629
9,0.1099537655534713,0.10280996774347045,0.12602636124904432,0.10446908948323386,0.0912342626239877,0.13418075916831038
10,0.11927339732328227,0.11117011512114007,0.13602623721154275,0.11384852909644337,0.10031843592201568,0.14727190352930603
11,0.1279499011420876,0.11935279270409373,0.1455199136038134,0.12430955319494717,0.1098248478834794,0.1604415071563606
12,0.13663426576130078,0.12752808802466878,0.15464526261821115,0.13475283607791064,0.11822636414123901,0.17241764041039814
13,0.14502804308677456,0.13525759336978155,0.16390340962613345,0.1438118839247498,0.12711508384371534,0.1840384516207737
14,0.1532922327858065,0.1428924280203871,0.17246731240173985,0.15416287369110415,0.135248411672444,0.1955691762787867
15,0.16111147257111283,0.1502282536472336,0.18151666077935819,0.1611099386902881,0.14239329397554168,0.20724757102763802
16,0.1689095244341492,0.15768960638389576,0.18939670094394656,0.16922508254235655,0.14967167518838898,0.21741779623883994
17,0.1763181007329403,0.16480002979747743,0.19778013850653647,0.17740492184878204,0.15692781474150452,0.22769445775846295
18,0.18359208303976268,0.17194719163732985,0.20512100423000204,0.18508349629872323,0.16434059838617016,0.23773355328159892
19,0.19075921993180392,0.17893477317915749,0.21281474252206622,0.1931847477387711,0.1719194380786789,0.24572492576243482
20,0.19755324479865202,0.18568568330300594,0.220523588463724,0.20212667216948602,0.17871517917217167,0.25341414319930183
