neuron_id,source,spike_time_s
2433,teacher,0.286
2433,teacher,1.396
2433,teacher,1.45
2246,teacher,0.408
2246,teacher,0.683
2246,teacher,0.725
2246,teacher,0.756
2246,teacher,0.775
2246,teacher,0.8
2246,teacher,0.83
2246,teacher,0.854
2246,teacher,0.873
2246,teacher,0.918
2246,teacher,1.701
2246,teacher,1.947
2246,teacher,1.97
2246,teacher,1.994
1316,teacher,0.315
1316,teacher,0.377
1316,teacher,0.578
1316,teacher,0.607
1316,teacher,0.619
1316,teacher,0.638
1316,teacher,0.679
1316,teacher,0.76
1316,teacher,0.791
1316,teacher,0.835
1316,teacher,0.867
1316,teacher,1.022
1316,teacher,1.039
1316,teacher,1.068
1316,teacher,1.076
1316,teacher,1.091
1316,teacher,1.105
1316,teacher,1.123
1316,teacher,1.131
1316,teacher,1.153
1316,teacher,1.171
1316,teacher,1.206
1316,teacher,1.534
1316,teacher,1.565
1316,teacher,1.578
1316,teacher,1.589
1316,teacher,1.599
1316,teacher,1.607
1316,teacher,1.616
1316,teacher,1.625
1316,teacher,1.64
1316,teacher,1.648
1316,teacher,1.655
1316,teacher,1.665
1316,teacher,1.671
1316,teacher,1.679
1316,teacher,1.689
1316,teacher,1.695
1316,teacher,1.702
1316,teacher,1.725
1316,teacher,1.732
1316,teacher,1.832
1316,teacher,1.866
2433,student,0.983
2433,student,1.397
2433,student,1.449
2246,student,0.442
2246,student,0.72
2246,student,0.762
2246,student,0.8
2246,student,0.848
2246,student,0.918
2246,student,1.695
2246,student,1.81
2246,student,1.936
2246,student,1.961
2246,student,1.99
1316,student,0.303
1316,student,0.338
1316,student,0.378
1316,student,0.592
1316,student,0.605
1316,student,0.632
1316,student,0.676
1316,student,0.784
1316,student,0.848
1316,student,0.892
1316,student,1.021
1316,student,1.036
1316,student,1.07
1316,student,1.077
1316,student,1.093
1316,student,1.11
1316,student,1.13
1316,student,1.172
1316,student,1.322
1316,student,1.548
1316,student,1.585
1316,student,1.595
1316,student,1.61
1316,student,1.622
1316,student,1.638
1316,student,1.652
1316,student,1.66
1316,student,1.672
1316,student,1.68
1316,student,1.69
1316,student,1.703
1316,student,1.71
1316,student,1.729
1316,student,1.744
1316,student,1.842
