neuron_id,observed,cell_type,teacher_rate_hz,student_rate_hz
12,True,inhibitory,8.7,7.4
16,True,excitatory,0.1,0
26,True,inhibitory,4.9,4.3
30,True,excitatory,0,0
34,True,excitatory,0.5,0.2
59,True,excitatory,1.8,1.8
84,True,excitatory,0.1,0.3
89,True,excitatory,0,0
96,True,inhibitory,10.8,11.9
101,True,inhibitory,43.1,42.1
104,True,excitatory,18,17.1
111,True,inhibitory,0,0
120,True,excitatory,0.1,0.1
121,True,inhibitory,2.4,2.1
128,True,inhibitory,4.6,4.8
140,True,inhibitory,2.4,3.5
142,True,excitatory,0,0
144,True,excitatory,0.2,0.1
147,True,inhibitory,4.9,4.7
164,True,excitatory,0,0
178,True,excitatory,0,0
194,True,excitatory,0,0
198,True,excitatory,7.1,6.9
203,True,excitatory,10.2,10
207,True,excitatory,7.6,8.5
214,True,excitatory,0,0
249,True,excitatory,0,0
257,True,excitatory,1.4,1.7
273,True,excitatory,0,0
278,True,excitatory,0.7,0.8
288,True,excitatory,3.8,3.7
312,True,inhibitory,42.7,38.6
322,True,excitatory,6,5
329,True,excitatory,0.6,0.9
330,True,inhibitory,4.3,4.1
331,True,excitatory,0,0
340,True,excitatory,0.7,0.8
349,True,excitatory,0.7,1.1
365,True,excitatory,0,0
367,True,excitatory,0,0
368,True,excitatory,5.4,4.9
369,True,excitatory,0.9,0.7
373,True,excitatory,0,0
374,True,excitatory,0,0
402,True,excitatory,0,0
405,True,excitatory,0,0
408,True,excitatory,29.4,27
426,True,inhibitory,2.4,1.4
441,True,excitatory,0,0
453,True,inhibitory,4.7,4.2
461,True,excitatory,0.2,0.1
468,True,excitatory,0.8,0.4
477,True,excitatory,0.2,0.2
482,True,excitatory,0.2,0
488,True,excitatory,0,0
524,True,excitatory,6.9,6.8
525,True,excitatory,0,0
533,True,inhibitory,2,2
539,True,excitatory,0,0
541,True,excitatory,6.1,7.1
542,True,excitatory,0,0
554,True,excitatory,2.1,1.9
560,True,excitatory,0,0
566,True,excitatory,0,0
571,True,excitatory,0,0
572,True,inhibitory,0,0
574,True,excitatory,7.6,8.2
579,True,excitatory,0,0
582,True,excitatory,0.7,0.8
592,True,inhibitory,11.5,10.5
601,True,excitatory,0,0
607,True,excitatory,5.9,5.8
624,True,excitatory,0,0
628,True,inhibitory,0.4,0.2
648,True,excitatory,0,0.1
671,True,inhibitory,18.2,18.8
696,True,excitatory,0,0.1
709,True,excitatory,0,0
713,True,excitatory,0,0
740,True,inhibitory,12.4,13.9
741,True,excitatory,0,0
745,True,excitatory,0,0
757,True,excitatory,0,0
771,True,excitatory,0,0
783,True,excitatory,1.3,1.2
788,True,excitatory,0,0
792,True,excitatory,3.7,2.9
799,True,excitatory,0.6,0.8
808,True,excitatory,0,0
814,True,inhibitory,0.4,0.1
815,True,excitatory,1.4,1.1
817,True,excitatory,0,0
830,True,excitatory,0,0
833,True,excitatory,0,0
857,True,excitatory,0,0
863,True,excitatory,0.7,2.1
869,True,excitatory,0,0
873,True,excitatory,1.4,1.3
876,True,excitatory,2.4,2.5
879,True,excitatory,0,0
880,True,excitatory,0,0
882,True,excitatory,0.1,0.3
909,True,excitatory,0,0
911,True,excitatory,0,0
923,True,excitatory,36.1,33.7
930,True,excitatory,0.5,0.5
932,True,excitatory,0.4,0.3
952,True,excitatory,0,0
985,True,excitatory,0.2,0.1
1002,True,excitatory,0,0
1005,True,inhibitory,6.6,5.3
1011,True,excitatory,0,0
1017,True,excitatory,0.5,0.6
1021,True,excitatory,1,0.8
1033,True,excitatory,8.8,8.9
1038,True,excitatory,25.8,25.9
1041,True,excitatory,0.2,0.4
1096,True,excitatory,0,0
1101,True,excitatory,0,0
1119,True,excitatory,0.4,0.4
1123,True,excitatory,0,0
1128,True,excitatory,0,0
1139,True,excitatory,0.1,0
1152,True,inhibitory,41.5,37.6
1179,True,inhibitory,0.1,0
1184,True,inhibitory,1.2,0.6
1193,True,inhibitory,0.7,1
1194,True,inhibitory,4.1,4.7
1197,True,inhibitory,12.2,12.2
1201,True,excitatory,0,0
1210,True,excitatory,0.2,0.3
1219,True,excitatory,0,0
1234,True,excitatory,0,0
1244,True,excitatory,0.4,0.4
1282,True,excitatory,0.1,0
1286,True,inhibitory,2.8,2.2
1299,True,inhibitory,9.5,9.1
1319,True,inhibitory,39,39
1334,True,excitatory,0.1,0
1344,True,excitatory,0,0
1345,True,excitatory,26.8,27
1346,True,excitatory,0.2,0.2
1347,True,excitatory,0,0
1351,True,inhibitory,2.5,2.6
1388,True,excitatory,0,0
1397,True,excitatory,0,0
1409,True,excitatory,0,0
1412,True,excitatory,1.3,0.8
1460,True,excitatory,0,0
1461,True,excitatory,0,0
1463,True,excitatory,9.5,9.2
1464,True,excitatory,0,0
1471,True,excitatory,1.4,1.3
1493,True,excitatory,15.3,15.6
1500,True,inhibitory,3.7,4.6
1504,True,excitatory,3.4,2.8
1512,True,excitatory,0,0.1
1521,True,excitatory,0,0
1536,True,excitatory,3.3,3.7
1553,True,excitatory,0,0
1560,True,excitatory,5.7,6.7
1563,True,excitatory,9.3,8.6
1573,True,excitatory,0,0
1577,True,excitatory,1.1,0.6
1584,True,excitatory,0,0
1588,True,inhibitory,22.6,22.8
1596,True,excitatory,0,0
1599,True,excitatory,0,0
1615,True,excitatory,0,0
1647,True,excitatory,0.2,0.3
1654,True,inhibitory,12.6,13.1
1655,True,inhibitory,7.4,7.7
1659,True,excitatory,0.1,0
1668,True,excitatory,5.1,4.6
1674,True,excitatory,0,0
1699,True,excitatory,0.8,0.7
1700,True,excitatory,0,0
1713,True,excitatory,0,0
1716,True,inhibitory,36.8,32
1723,True,excitatory,1,1.1
1724,True,excitatory,1.4,1.5
1751,True,inhibitory,15.9,14.2
1757,True,excitatory,0.5,0.3
1770,True,inhibitory,7.9,9.2
1803,True,excitatory,1.8,1.4
1804,True,excitatory,0,0
1814,True,excitatory,2.7,2.5
1833,True,excitatory,0.1,0.1
1865,True,inhibitory,2.7,4.3
1866,True,excitatory,0.1,0.1
1874,True,excitatory,21.8,23.5
1890,True,excitatory,0,0
1891,True,excitatory,0,0
1897,True,excitatory,0,0
1899,True,excitatory,0.1,0.1
1904,True,excitatory,0.1,0.1
1913,True,excitatory,0,0
1920,True,excitatory,2.8,3
1932,True,excitatory,0,0
1933,True,excitatory,4.7,4.7
1938,True,inhibitory,2.3,3
1942,True,excitatory,0,0
1944,True,inhibitory,0.5,0.3
1964,True,excitatory,0.6,0.7
1975,True,excitatory,2.5,2.6
2011,True,excitatory,2.8,3.1
2066,True,excitatory,0,0
2078,True,inhibitory,5.4,3.6
2079,True,inhibitory,32.6,34.3
2102,True,excitatory,17.2,18
2105,True,excitatory,1.6,2.2
2107,True,excitatory,0,0
2120,True,excitatory,16.2,15.8
2123,True,excitatory,0,0
2134,True,inhibitory,10.9,12.2
2137,True,excitatory,0,0
2144,True,inhibitory,0.2,0.2
2158,True,inhibitory,7.2,6.8
2172,True,excitatory,0.3,0.2
2196,True,excitatory,0,0
2206,True,excitatory,0.6,1.3
2208,True,inhibitory,12.6,12.4
2214,True,inhibitory,2,1.9
2237,True,excitatory,0.9,0.7
2248,True,inhibitory,1.2,0.9
2259,True,excitatory,0,0
2268,True,excitatory,0.3,0.3
2275,True,excitatory,0,0
2290,True,excitatory,0.7,1.1
2301,True,inhibitory,51.5,50.2
2309,True,excitatory,0,0
2315,True,excitatory,7.6,6.9
2338,True,inhibitory,0.4,0.3
2341,True,inhibitory,0.4,0.4
2353,True,excitatory,0,0
2373,True,excitatory,0,0
2374,True,excitatory,0,0
2385,True,excitatory,0.3,0.3
2396,True,excitatory,0.6,0.9
2397,True,excitatory,0,0
2412,True,excitatory,0,0.1
2427,True,inhibitory,0,0
2430,True,excitatory,0.3,0.2
2437,True,excitatory,0,0
2446,True,inhibitory,1.5,1.5
2468,True,excitatory,0,0
2478,True,excitatory,1.6,1.7
2493,True,excitatory,0,0
2494,True,inhibitory,16.9,17.1
2496,True,excitatory,30.4,32.6
2510,True,excitatory,2.6,2.4
2511,True,excitatory,3.3,3.5
2512,True,excitatory,0,0
2518,True,excitatory,0,0
2525,True,excitatory,0,0
2532,True,inhibitory,0.8,0.2
2537,True,excitatory,0,0
2557,True,excitatory,0,0.1
2564,True,excitatory,0.6,0.4
2567,True,excitatory,0,0
2580,True,excitatory,19,17.5
2587,True,excitatory,0,0
2608,True,inhibitory,0,0
2632,True,excitatory,0.5,0.1
2637,True,excitatory,13.1,13.1
2649,True,excitatory,0,0
2660,True,inhibitory,9.9,9.5
2681,True,excitatory,0,0
2685,True,excitatory,0,0
2692,True,excitatory,0,0
2696,True,excitatory,8,8
2698,True,excitatory,3.2,3.3
2714,True,excitatory,0.5,0.4
2715,True,excitatory,0.9,0.9
2716,True,excitatory,0.2,0.3
2720,True,excitatory,3.8,2.9
2727,True,excitatory,0.4,0.3
2799,True,excitatory,0,0
2801,True,excitatory,102.9,106.2
2802,True,excitatory,0,0
2807,True,excitatory,0.4,0.3
2815,True,excitatory,0.3,0.5
2821,True,excitatory,0.2,0.3
2828,True,excitatory,1.4,1.1
2838,True,excitatory,3,2.4
2842,True,excitatory,2.2,2.4
2845,True,excitatory,0.3,0.3
2851,True,inhibitory,0,0
2875,True,excitatory,0.5,0.6
2884,True,excitatory,1,1
2913,True,excitatory,0.2,0
2934,True,excitatory,0,0
2939,True,excitatory,0.1,0
2947,True,excitatory,0,0
2950,True,excitatory,0.1,0.1
2965,True,excitatory,0,0
2973,True,excitatory,0.1,0.1
2982,True,excitatory,0,0
2983,True,inhibitory,1.4,2.6
2998,True,excitatory,4.2,4.3
3003,True,inhibitory,2.7,3.4
3012,True,excitatory,0,0
3014,True,inhibitory,89.6,93.4
3017,True,excitatory,0,0
3020,True,excitatory,0,0
3023,True,inhibitory,0.1,0
3026,True,excitatory,0.5,0.3
3039,True,inhibitory,1.3,0.6
3040,True,excitatory,0.2,0.3
3046,True,excitatory,1.5,0.7
3050,True,inhibitory,10.3,10.4
3069,True,excitatory,0.1,0.1
3070,True,excitatory,2.7,3.5
3074,True,excitatory,0,0
3080,True,excitatory,2,2.3
3083,True,excitatory,0,0
3085,True,inhibitory,17.2,16.3
3096,True,excitatory,2,1.9
3098,True,excitatory,7.2,6.8
3106,True,excitatory,1.8,2.4
3130,True,excitatory,14.8,14.3
