observed,cell_type,teacher_rate_hz,student_rate_hz
True,excitatory,0.2,0.1
True,excitatory,0,0
True,excitatory,0.2,0.3
True,inhibitory,0.7,0
True,excitatory,2.9,0
True,inhibitory,0,0
True,excitatory,23.9,20
True,excitatory,0.1,0
True,excitatory,8,5.5
True,excitatory,0.9,0
True,excitatory,72.8,62.8
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,0.1,0.1
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,13.4,10.4
True,inhibitory,37.9,43.6
True,excitatory,0,0
True,excitatory,4.3,0
True,inhibitory,1.2,0
True,excitatory,0,0
True,excitatory,1.9,2
True,excitatory,0.3,0
True,inhibitory,1.7,3.1
True,excitatory,0.1,0
True,excitatory,1,0.7
True,excitatory,0,0
True,excitatory,1.2,0
True,inhibitory,3.7,6.1
True,excitatory,1.5,0
True,excitatory,0,0
True,inhibitory,0.4,0.6
True,inhibitory,210.7,200.5
True,excitatory,0,0
True,excitatory,0.4,0
True,inhibitory,0,0
True,excitatory,13.4,13.6
True,excitatory,0,0
True,inhibitory,2.3,0
True,excitatory,0,0
True,excitatory,1,0
True,excitatory,5,0
True,excitatory,0,0
True,excitatory,0.5,0
True,excitatory,0,0
True,excitatory,4.2,0
True,excitatory,0,0
True,excitatory,0.1,0
True,excitatory,74.4,54.7
True,excitatory,13.5,21.9
True,excitatory,3.4,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,2.4,0.1
True,excitatory,0.2,0
True,excitatory,0.1,1.9
True,excitatory,0.5,0
True,excitatory,0.2,0
True,inhibitory,1.3,0.1
True,inhibitory,6.8,0
True,excitatory,1,0
True,excitatory,0,0
True,excitatory,0.5,0
True,excitatory,4.3,0
True,excitatory,72.4,59.3
True,inhibitory,2.5,0.1
True,excitatory,0.1,0
True,excitatory,1.2,0
True,excitatory,0,0
True,excitatory,0.3,0
True,excitatory,0.8,0
True,excitatory,0,0
True,excitatory,3.5,0
True,excitatory,0.1,0
True,excitatory,0.1,0
True,excitatory,0.2,0
True,excitatory,1.2,0
True,excitatory,7.2,5.4
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.2,0
True,excitatory,5.6,0
True,excitatory,0,0
True,excitatory,67.3,68.9
True,excitatory,0.1,0
True,excitatory,0.5,0
True,inhibitory,2.5,0
True,excitatory,0.3,0
True,excitatory,12.2,7
True,excitatory,1.3,0
True,inhibitory,3.3,2
True,inhibitory,0.2,0.2
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0.1
True,excitatory,0,0
True,excitatory,0.8,1.2
True,inhibitory,5,1.2
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,20.1,10.9
True,excitatory,0,0
True,excitatory,11.2,8.4
True,excitatory,0.1,0
True,excitatory,0.7,0.1
True,inhibitory,31.3,16.8
True,inhibitory,23.1,27.9
True,excitatory,0,0
True,excitatory,8,7.5
True,inhibitory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,6,0
True,inhibitory,18.6,21.8
True,excitatory,1.4,0
True,excitatory,2.2,1.3
True,excitatory,1.6,0
True,inhibitory,0.3,0.1
True,excitatory,4.2,1.6
True,inhibitory,18.7,18.1
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,12.5,9.6
True,excitatory,0.2,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.2,0
True,excitatory,0,0
True,inhibitory,0.1,0
True,excitatory,0,0
True,inhibitory,4.6,1.7
True,excitatory,1.1,0
True,inhibitory,233.9,225.4
True,excitatory,0,0
True,excitatory,2.7,0
True,excitatory,0,0
True,excitatory,2.8,0
True,inhibitory,5.1,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.3,0
True,excitatory,0.3,0.2
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,0.2,0
True,excitatory,0.8,0
True,excitatory,8.6,0
True,inhibitory,0.6,0.1
True,excitatory,5.9,0
True,excitatory,0,0
True,excitatory,2.5,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.1,0
True,excitatory,3.5,0
True,excitatory,1.1,0.8
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,252.7,277.7
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,2.1,3.9
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,1.6,0
True,excitatory,5.3,0
True,inhibitory,4.4,4.6
True,excitatory,0.9,0
True,excitatory,0.5,0
True,inhibitory,0,0
True,excitatory,0,0
True,inhibitory,1,0
True,excitatory,0,0
True,excitatory,1.6,0
True,inhibitory,34.6,13.7
True,excitatory,0,0
True,excitatory,0.2,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.3,0
True,excitatory,0,0
True,excitatory,1.5,1.5
True,excitatory,12.7,0
True,inhibitory,150.2,149.3
True,excitatory,0.1,0
True,excitatory,0,0
True,excitatory,2.7,0
True,inhibitory,57.1,49.1
True,excitatory,0.9,0.1
True,excitatory,0.7,0.3
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,2.3,0
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,0.1,0
True,excitatory,9.4,0
True,inhibitory,58.1,36.2
True,excitatory,0,0
True,inhibitory,0.5,1.5
True,excitatory,0,0
True,inhibitory,11.7,10.8
True,excitatory,0,0
True,excitatory,3.7,1.6
True,inhibitory,0.2,0.4
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,0.3,0
True,excitatory,4.7,0
True,excitatory,0.2,0.3
True,excitatory,0.1,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,3.9,0.7
True,excitatory,0,0
True,excitatory,12.5,1
True,excitatory,0.1,0
True,excitatory,0,0
True,excitatory,0.1,0
True,excitatory,0,0
True,inhibitory,1.7,2.2
True,excitatory,30,21
True,inhibitory,57.9,37.5
True,excitatory,0,0
True,excitatory,6,3.9
True,excitatory,0,0
True,excitatory,10.1,6.5
True,inhibitory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.3,0
True,excitatory,0.2,0
True,excitatory,31.4,30
True,excitatory,0,0
True,excitatory,0.1,0
True,excitatory,0.4,0
True,inhibitory,39.1,26.8
True,excitatory,2.2,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.1,0
True,excitatory,0,0
True,inhibitory,23.5,19.1
True,excitatory,0,0
True,excitatory,1.2,0
True,excitatory,0,0
True,excitatory,19.8,0
True,excitatory,131.1,112.5
True,excitatory,1.5,0
True,inhibitory,0.8,0
True,inhibitory,12.7,10.1
True,inhibitory,0.7,1.1
True,excitatory,0,0
True,excitatory,9.4,8.2
True,excitatory,4.5,0.7
True,inhibitory,1.5,0.6
True,excitatory,0,0
True,excitatory,0.2,0.1
True,inhibitory,0.5,0.3
True,excitatory,0,0
True,inhibitory,0,0
True,excitatory,5.8,3.8
True,excitatory,10.1,11.2
True,excitatory,0,0
True,excitatory,0.6,0
True,excitatory,1.5,0
True,excitatory,2.7,0
True,inhibitory,0.7,0
True,excitatory,0,0
True,inhibitory,51.5,42.7
True,inhibitory,100.5,84.2
True,excitatory,0.2,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.2,0
True,excitatory,1.2,0
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,0.1,0
True,inhibitory,14.2,10.9
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,13.8,6.7
True,inhibitory,0,0
True,excitatory,0,0
True,excitatory,0,0
True,inhibitory,0,0
True,excitatory,1,1.6
True,excitatory,0.1,0
True,excitatory,0,0
True,inhibitory,3.7,0
True,excitatory,0.2,5.5
True,excitatory,0,0
True,excitatory,0,0
True,excitatory,35,41.3
