odourant,baseline_hz,odour_hz
1,6.0,15.0
2,6.0,5.526315789473684
3,6.0,5.526315789473684
4,6.0,5.526315789473684
5,6.0,5.526315789473684
6,6.0,5.526315789473684
7,6.0,5.526315789473684
8,6.0,5.526315789473684
9,6.0,5.526315789473684
10,6.0,5.526315789473684
11,6.0,5.526315789473684
12,6.0,5.526315789473684
13,6.0,5.526315789473684
14,6.0,5.526315789473684
15,6.0,5.526315789473684
16,6.0,5.526315789473684
17,6.0,5.526315789473684
18,6.0,5.526315789473684
19,6.0,5.526315789473684
20,6.0,5.526315789473684
