neuron_id,cell_type,assembly,odour_hz,odour_repeat_hz,baseline_hz
0,inhibitory,0,29.0,18.222221,14.777778
1,excitatory,0,0.6666667,0.33333334,0.22222222
2,inhibitory,0,16.555555,14.0,20.666666
3,excitatory,0,2.1111112,1.2222222,0.0
4,excitatory,0,0.0,0.0,0.0
5,inhibitory,0,3.6666667,2.2222223,1.7777778
6,excitatory,0,17.777779,21.666666,6.0
7,excitatory,0,2.6666667,4.0,0.7777778
8,excitatory,0,50.444443,57.666668,20.333334
9,excitatory,0,4.4444447,0.44444445,2.1111112
10,excitatory,0,15.0,16.88889,18.666666
11,excitatory,0,5.888889,8.444445,7.3333335
12,inhibitory,0,0.7777778,2.1111112,0.0
13,inhibitory,0,19.666666,21.88889,26.88889
14,excitatory,0,21.333334,22.777779,18.88889
15,excitatory,0,0.0,1.2222222,0.0
16,excitatory,0,7.7777777,8.111111,1.0
17,excitatory,0,4.5555553,7.4444447,5.7777777
18,excitatory,0,0.0,0.0,0.0
19,inhibitory,0,0.0,0.5555556,0.0
20,excitatory,0,29.666666,36.333332,18.0
21,excitatory,0,0.0,0.11111111,0.0
22,excitatory,0,9.777778,8.444445,11.444445
23,excitatory,0,0.0,1.1111112,0.44444445
24,inhibitory,0,1.4444444,4.111111,3.1111112
25,excitatory,0,146.66667,145.11111,57.0
26,inhibitory,0,0.0,0.0,0.0
27,excitatory,0,0.44444445,0.33333334,0.22222222
28,excitatory,0,0.0,0.0,0.0
29,excitatory,0,0.0,0.11111111,0.0
30,excitatory,0,8.111111,8.444445,5.3333335
31,excitatory,0,1.5555556,2.8888888,0.44444445
32,inhibitory,0,2.0,3.0,0.0
33,excitatory,0,0.0,0.0,0.0
34,excitatory,0,0.0,0.0,0.0
35,excitatory,0,12.333333,7.4444447,3.2222223
36,excitatory,0,0.0,0.0,0.0
37,excitatory,0,0.0,0.0,0.0
38,excitatory,0,0.0,0.0,0.0
39,excitatory,0,0.0,0.0,0.0
40,excitatory,0,6.5555553,6.888889,2.3333333
41,excitatory,0,1.8888888,1.5555556,0.22222222
42,excitatory,0,11.0,10.777778,8.444445
43,excitatory,0,22.0,25.333334,5.888889
44,excitatory,0,0.0,0.0,0.11111111
45,inhibitory,0,0.8888889,0.8888889,0.11111111
46,excitatory,0,0.0,0.5555556,0.0
47,excitatory,0,0.0,0.0,0.0
48,excitatory,0,9.555555,7.5555553,14.333333
49,excitatory,0,0.0,0.0,0.0
50,excitatory,0,0.44444445,0.22222222,0.0
51,inhibitory,0,37.666668,22.11111,9.333333
52,excitatory,0,0.0,0.0,0.0
53,excitatory,0,0.0,0.0,0.0
54,excitatory,0,35.11111,25.333334,15.333333
55,excitatory,0,14.444445,11.333333,1.2222222
56,inhibitory,0,0.0,0.0,0.0
57,inhibitory,0,31.11111,41.22222,32.333332
58,excitatory,0,0.0,0.0,0.0
59,excitatory,0,18.222221,16.88889,3.4444444
60,inhibitory,0,1.4444444,2.2222223,0.8888889
61,excitatory,0,0.0,0.0,0.0
62,excitatory,0,23.777779,18.666666,3.2222223
63,excitatory,0,3.3333333,6.5555553,1.1111112
64,excitatory,0,0.0,0.0,0.0
65,excitatory,0,2.7777777,3.5555556,3.5555556
66,excitatory,0,6.2222223,5.6666665,0.7777778
67,inhibitory,0,1.7777778,0.44444445,0.7777778
68,excitatory,0,0.11111111,0.44444445,0.0
69,excitatory,0,2.6666667,1.7777778,0.33333334
70,inhibitory,0,3.3333333,4.888889,7.111111
71,excitatory,0,3.1111112,1.7777778,5.0
72,excitatory,0,5.0,2.1111112,5.5555553
73,excitatory,0,0.0,0.0,0.0
74,excitatory,0,1.0,0.5555556,0.0
75,excitatory,0,2.4444444,1.0,1.4444444
76,excitatory,0,0.0,0.0,0.0
77,excitatory,0,0.6666667,0.7777778,1.3333334
78,inhibitory,0,8.444445,12.666667,7.0
79,excitatory,0,1.1111112,1.5555556,0.0
80,excitatory,0,2.3333333,2.3333333,4.0
81,excitatory,0,23.11111,23.88889,7.6666665
82,excitatory,0,1.3333334,1.1111112,0.33333334
83,excitatory,0,0.33333334,0.0,0.0
84,excitatory,0,0.0,0.0,0.0
85,excitatory,0,0.22222222,0.22222222,0.0
86,inhibitory,0,8.222222,2.7777777,3.2222223
87,excitatory,0,0.5555556,1.1111112,1.3333334
88,excitatory,0,0.22222222,0.8888889,0.0
89,excitatory,0,0.0,0.0,0.0
90,inhibitory,0,1.4444444,1.2222222,1.3333334
91,inhibitory,0,3.0,0.8888889,0.22222222
92,inhibitory,0,190.33333,201.66667,228.0
93,excitatory,0,1.1111112,1.7777778,0.0
94,excitatory,0,0.0,0.0,0.44444445
95,excitatory,0,2.2222223,4.111111,0.11111111
96,inhibitory,0,0.0,0.0,0.0
97,excitatory,0,3.1111112,4.2222223,11.0
98,excitatory,0,0.0,0.0,0.0
99,inhibitory,0,5.7777777,4.4444447,0.11111111
100,inhibitory,0,0.0,0.0,0.11111111
101,inhibitory,0,4.5555553,3.5555556,0.8888889
