neuron_id,cell_type,Recurrent AMPA,Recurrent NMDA,Recurrent GABA_A,Feedforward AMPA,Feedforward NMDA,seconds
13,inhibitory,1.8686545,3.9570363,25.984097,1.874346,0.604193,5.0
429,excitatory,1.2760377,2.7160618,27.42233,0.35145497,0.1115946,5.0
445,excitatory,0.95584214,2.0424323,23.7556,0.9512687,0.30396593,5.0
470,inhibitory,2.0424676,4.353129,15.476462,0.63858837,0.1973118,5.0
1007,excitatory,1.8951324,4.0543685,28.27266,0.55322206,0.17609093,5.0
2162,excitatory,0.4769353,1.0146346,14.441274,0.87592155,0.28114435,5.0
2191,excitatory,3.9662154,8.385992,9.783706,0.9134631,0.29286292,5.0
3268,excitatory,1.3016586,2.779913,27.46246,1.3430649,0.41560745,5.0
3485,excitatory,3.4969864,7.3088512,18.986921,0.5074714,0.16251196,5.0
3863,excitatory,0.93841285,2.0022335,13.170422,0.41353348,0.12957513,5.0
4289,excitatory,2.753444,4.3708177,30.563622,0.9951655,0.3170528,5.0
