trial,pathway,drive,drive_fraction
0,Feedforward,621643.3056263924,0.28316233627485543
0,Recurrent Excitatory,1573716.832322836,0.7168376637251446
1,Feedforward,676992.4946223497,0.31300141613979343
1,Recurrent Excitatory,1485913.0377922058,0.6869985838602066
2,Feedforward,594956.6485757828,0.29256342874317
2,Recurrent Excitatory,1438642.1888854504,0.70743657125683
3,Feedforward,639635.1824104786,0.285471623664669
3,Recurrent Excitatory,1600990.958287239,0.714528376335331
4,Feedforward,609810.2487266064,0.2727923873168889
4,Recurrent Excitatory,1625626.9448275566,0.7272076126831111
5,Feedforward,674902.895013094,0.3073438439791686
5,Recurrent Excitatory,1521018.4101777077,0.6926561560208314
6,Feedforward,781629.0617213249,0.32246589296659894
6,Recurrent Excitatory,1642283.2923281193,0.6775341070334011
7,Feedforward,577997.7563772202,0.2760773401265688
7,Recurrent Excitatory,1515610.346744299,0.7239226598734312
8,Feedforward,666746.1540257931,0.2964121900667775
8,Recurrent Excitatory,1582642.2866978645,0.7035878099332225
9,Feedforward,642363.7378311157,0.2984282566153995
9,Recurrent Excitatory,1510125.9262390137,0.7015717433846005
10,Feedforward,563939.8221548796,0.27196994637055444
10,Recurrent Excitatory,1509597.455329895,0.7280300536294456
11,Feedforward,597693.1787340641,0.2856056210717887
11,Recurrent Excitatory,1495028.8639593124,0.7143943789282113
12,Feedforward,733400.1529239416,0.308507468703846
12,Recurrent Excitatory,1643852.3525185585,0.691492531296154
13,Feedforward,682675.5047081709,0.30460979323388154
13,Recurrent Excitatory,1558472.0876281261,0.6953902067661184
14,Feedforward,611122.0937116146,0.29619664406705043
14,Recurrent Excitatory,1452108.891354084,0.7038033559329495
15,Feedforward,624799.4569129944,0.3024516252350927
15,Recurrent Excitatory,1440983.6461777687,0.6975483747649073
16,Feedforward,537706.598564148,0.25960290399313135
16,Recurrent Excitatory,1533559.1318776608,0.7403970960068686
17,Feedforward,718458.3005912304,0.3138079199025388
17,Recurrent Excitatory,1571025.9827065468,0.6861920800974611
18,Feedforward,589302.1030203104,0.2846918398463087
18,Recurrent Excitatory,1480662.7520961761,0.7153081601536913
19,Feedforward,616299.1457400322,0.267377201986903
19,Recurrent Excitatory,1688681.0139753819,0.732622798013097
20,Feedforward,731076.5765231848,0.32183251037525296
20,Recurrent Excitatory,1540529.1592390537,0.678167489624747
21,Feedforward,623018.5783373117,0.29248175876816823
21,Recurrent Excitatory,1507092.3077611923,0.7075182412318317
22,Feedforward,737390.6128807068,0.31606792988553384
22,Recurrent Excitatory,1595622.4617066383,0.6839320701144661
23,Feedforward,624175.4152097702,0.29593190140779135
23,Recurrent Excitatory,1485010.5571050644,0.7040680985922086
24,Feedforward,639398.5326890945,0.28429657047543644
24,Recurrent Excitatory,1609656.1485538483,0.7157034295245636
25,Feedforward,699151.3183215857,0.31245379916796784
25,Recurrent Excitatory,1538463.7152717113,0.6875462008320321
26,Feedforward,660168.4548603296,0.3050266463680878
26,Recurrent Excitatory,1504129.1982164383,0.6949733536319123
27,Feedforward,665884.4410430193,0.3165658106626857
27,Recurrent Excitatory,1437578.4681355953,0.6834341893373144
28,Feedforward,664517.8399194479,0.31147906410164306
28,Recurrent Excitatory,1468909.1428411007,0.688520935898357
29,Feedforward,675766.8207809925,0.301719823593886
29,Recurrent Excitatory,1563949.5251047611,0.6982801764061141
30,Feedforward,658863.7938917875,0.29697036894889867
30,Recurrent Excitatory,1559754.1652796268,0.7030296310511013
31,Feedforward,613412.0518177748,0.28812102217869356
31,Recurrent Excitatory,1515596.2627415657,0.7118789778213064
32,Feedforward,625406.8553595543,0.2845204218409908
32,Recurrent Excitatory,1572701.9879806042,0.7154795781590092
33,Feedforward,597592.3490151167,0.28018436214545356
33,Recurrent Excitatory,1535261.6919426918,0.7198156378545464
34,Feedforward,705733.7996687889,0.31133536868030465
34,Recurrent Excitatory,1561062.3008201122,0.6886646313196954
35,Feedforward,615338.060600996,0.2958641704569406
35,Recurrent Excitatory,1464461.1244461536,0.7041358295430594
36,Feedforward,662441.868547082,0.3003412418716765
36,Recurrent Excitatory,1543188.848096609,0.6996587581283236
37,Feedforward,508916.6004201174,0.2641203069877155
37,Recurrent Excitatory,1417919.719832182,0.7358796930122845
38,Feedforward,595331.8103117943,0.28019321541251513
38,Recurrent Excitatory,1529387.053545475,0.7198067845874848
39,Feedforward,634635.9890656471,0.2944474741852439
39,Recurrent Excitatory,1520709.3431425095,0.7055525258147561
40,Feedforward,536018.6189453602,0.2719893899226185
40,Recurrent Excitatory,1434714.942013979,0.7280106100773814
41,Feedforward,545754.5326040983,0.26631704534183537
41,Recurrent Excitatory,1503511.7165899277,0.7336829546581646
42,Feedforward,713116.8327857256,0.3134915946172704
42,Recurrent Excitatory,1561638.9980885983,0.6865084053827296
43,Feedforward,645515.5521345139,0.29750062745464834
43,Recurrent Excitatory,1524280.046810627,0.7024993725453517
44,Feedforward,520945.0665950775,0.2675592831870951
44,Recurrent Excitatory,1426081.6274135113,0.7324407168129049
45,Feedforward,614135.4859799147,0.2879568162950522
45,Recurrent Excitatory,1518599.1854252815,0.7120431837049478
46,Feedforward,657080.8212814331,0.2949856446020196
46,Recurrent Excitatory,1570420.1887013912,0.7050143553979804
47,Feedforward,689624.6305912733,0.2933513868626794
47,Recurrent Excitatory,1661223.7426400185,0.7066486131373205
48,Feedforward,709731.2554085255,0.3083610302716104
48,Recurrent Excitatory,1591893.0931136608,0.6916389697283896
49,Feedforward,621074.297825098,0.28203609367061033
49,Recurrent Excitatory,1581034.9774169922,0.7179639063293897
