component,eigenvalue,variance_fraction,cumulative_fraction
1,0.14558388020561214,0.09998658753177364,0.09998658753177364
2,0.09631061557807861,0.06614585200735253,0.16613243953912615
3,0.06702453700686736,0.04603225801338001,0.21216469755250617
4,0.049979539863266316,0.03432580331200436,0.24649050086451052
5,0.04502777923525642,0.0309249484455889,0.2774154493100994
6,0.043544042092556426,0.02990592207066887,0.3073213713807683
7,0.032782803484869096,0.022515134543380853,0.32983650592414915
8,0.03216636062266429,0.022091763369916268,0.3519282692940654
9,0.027260156528155492,0.01872219659884569,0.37065046589291106
10,0.024476195205613067,0.0168101800207168,0.3874606459136279
11,0.023396376029408934,0.01606856333604308,0.40352920924967095
12,0.021826046604263842,0.014990065632181653,0.4185192748818526
13,0.020963970544779033,0.014397994289811967,0.43291726917166456
14,0.020121774317200768,0.013819576358453399,0.44673684553011794
15,0.017215326179747407,0.011823436190382524,0.45856028172050045
16,0.016230290771309927,0.011146916723058738,0.4697071984435592
17,0.015935483235816714,0.010944443761004232,0.4806516422045634
18,0.014844920138634303,0.010195448182500975,0.49084709038706437
19,0.014404802031370522,0.009893176340356791,0.5007402667274211
20,0.014172988714843628,0.009733967625551197,0.5104742343529723
21,0.0134452236054873,0.009234140654965877,0.5197083750079382
22,0.012938651777657496,0.008886228589887654,0.5285946035978258
23,0.01220399280881751,0.008381666936563276,0.5369762705343891
24,0.011592967726253739,0.007962016678474354,0.5449382872128635
25,0.01134219985186465,0.007789790028193091,0.5527280772410567
26,0.011239082128026712,0.007718969073936083,0.5604470463149928
27,0.010818354001748381,0.007430014214608286,0.5678770605296011
28,0.010382019717710881,0.007130341091303613,0.5750074016209047
29,0.010327127223950943,0.0070926410854759495,0.5821000427063806
30,0.00923381405803809,0.006341756767728716,0.5884417994741094
31,0.009068323547594218,0.00622809836416917,0.5946698978382785
32,0.00868673314068037,0.00596602317721653,0.600635921015495
33,0.00847337808161015,0.005819491540204638,0.6064554125556997
34,0.008336086860241246,0.005725200326758764,0.6121806128824584
35,0.008005299402617018,0.005498016458328785,0.6176786293407872
36,0.007896189734895726,0.005423080254356409,0.6231017095951437
37,0.007755519232760011,0.005326468160661237,0.628428177755805
38,0.00739213691135909,0.005076898234135459,0.6335050759899404
39,0.007193917207227992,0.004940761515086379,0.6384458375050268
40,0.007106375735203533,0.004880638285489313,0.6433264757905162
41,0.0066678484912410345,0.004579459043655686,0.6479059348341718
42,0.00651022578955265,0.004471204228375988,0.6523771390625478
43,0.006182978029663734,0.004246451414104942,0.6566235904766528
44,0.006113776368762238,0.004198923913702431,0.6608225143903552
45,0.005862132722406107,0.004026095785769129,0.6648486101761244
46,0.005827149396423486,0.004002069338743718,0.6688506795148681
47,0.005669108952823465,0.003893527619528264,0.6727442071343963
48,0.005513896644307215,0.0037869282553022895,0.6765311353896986
49,0.0054524292299590405,0.0037447126130457737,0.6802758480027443
50,0.005224625849344186,0.003588257910617785,0.6838641059133621
51,0.0051293709840364065,0.0035228371448401976,0.6873869430582024
52,0.005022492212402021,0.0034494331138429668,0.6908363761720453
53,0.004906507665881255,0.0033697752630104908,0.6942061514350558
54,0.0048883012277718095,0.0033572711340155714,0.6975634225690714
55,0.004599091938340637,0.0031586430311523177,0.7007220656002238
56,0.004453346754490842,0.0030585456607446133,0.7037806112609684
57,0.004345234122145174,0.002984294217782291,0.7067649054787507
58,0.0043321244483185105,0.00297529053174417,0.7097401960104949
59,0.004210386889237022,0.002891681528537121,0.712631877539032
60,0.004067973659447641,0.0027938725345337478,0.7154257500735658
61,0.003984177504463039,0.0027363215778388114,0.7181620716514046
62,0.0039450724777585445,0.002709464358687906,0.7208715360100925
63,0.0039061137746585336,0.0026827076341650255,0.7235542436442575
64,0.0037550860527222696,0.0025789822318898737,0.7261332258761474
65,0.0037156621668794653,0.002551906021205717,0.7286851318973531
66,0.003680459016998283,0.0025277285997630555,0.7312128604971161
67,0.0035657120908561524,0.002448920743024327,0.7336617812401404
68,0.0034679532018440464,0.002381780221014521,0.7360435614611549
69,0.0033778102160360855,0.0023198702792810427,0.738363431740436
70,0.003329716957515651,0.002286839968535442,0.7406502717089714
71,0.003320724918252879,0.0022806642619972836,0.7429309359709686
72,0.0031533681955470444,0.0021657241492579844,0.7450966601202266
73,0.0031364612201251283,0.002154112487475557,0.7472507726077021
74,0.0031061663586588253,0.002133306064309164,0.7493840786720113
75,0.003015763089795949,0.002071217360926961,0.7514552960329383
76,0.0029888748224972867,0.0020527505767744952,0.7535080466097127
77,0.0029369219138158736,0.002017069469470116,0.7555251160791828
