seed,observed,observed_fraction,scaling_factor,value,target
44,partial,0.5,excitatory_to_excitatory,0.9554298396336776,1.0
44,partial,0.5,excitatory_to_inhibitory,0.8348100726124138,1.0
44,partial,0.5,inhibitory_to_excitatory,0.9908715801214664,1.0
44,partial,0.5,inhibitory_to_inhibitory,0.9278000989592096,1.0
44,partial,0.5,mitral_to_excitatory,1.0052732735892358,1.0
44,partial,0.5,mitral_to_inhibitory,0.7857378901122852,1.0
45,partial,0.5,excitatory_to_excitatory,1.039701490496713,1.0
45,partial,0.5,excitatory_to_inhibitory,1.2844397875266638,1.0
45,partial,0.5,inhibitory_to_excitatory,0.9652559544839696,1.0
45,partial,0.5,inhibitory_to_inhibitory,1.0083205623581155,1.0
45,partial,0.5,mitral_to_excitatory,0.9327208532430776,1.0
45,partial,0.5,mitral_to_inhibitory,1.1463344125435688,1.0
46,partial,0.5,excitatory_to_excitatory,0.9105101005259084,1.0
46,partial,0.5,excitatory_to_inhibitory,1.0866350636958233,1.0
46,partial,0.5,inhibitory_to_excitatory,0.8680218848191221,1.0
46,partial,0.5,inhibitory_to_inhibitory,1.0894481312299291,1.0
46,partial,0.5,mitral_to_excitatory,0.9631232223733348,1.0
46,partial,0.5,mitral_to_inhibitory,0.8915677936905609,1.0
44,full,1.0,excitatory_to_excitatory,0.9999996995176866,1.0
44,full,1.0,excitatory_to_inhibitory,1.0000004909778153,1.0
44,full,1.0,inhibitory_to_excitatory,1.000001623536276,1.0
44,full,1.0,inhibitory_to_inhibitory,1.000001075604895,1.0
44,full,1.0,mitral_to_excitatory,0.9999994874809,1.0
44,full,1.0,mitral_to_inhibitory,1.0000000205444304,1.0
45,full,1.0,excitatory_to_excitatory,0.999999859814612,1.0
45,full,1.0,excitatory_to_inhibitory,1.0000001767934483,1.0
45,full,1.0,inhibitory_to_excitatory,1.0000002686471223,1.0
45,full,1.0,inhibitory_to_inhibitory,1.000000666997869,1.0
45,full,1.0,mitral_to_excitatory,1.0000000827595172,1.0
45,full,1.0,mitral_to_inhibitory,0.9999998246528576,1.0
46,full,1.0,excitatory_to_excitatory,0.9999989684502212,1.0
46,full,1.0,excitatory_to_inhibitory,0.9999998547086454,1.0
46,full,1.0,inhibitory_to_excitatory,1.0000019968174378,1.0
46,full,1.0,inhibitory_to_inhibitory,1.000000079956048,1.0
46,full,1.0,mitral_to_excitatory,0.9999966771509832,1.0
46,full,1.0,mitral_to_inhibitory,0.9999994138144648,1.0
