seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
44,held_out,observed,all,500,activity_r2,0.9162696444979976,0.9978092621110016
44,held_out,observed,all,500,fluctuation_r2,0.7978185415267944,0.9200692772865295
44,held_out,unobserved,all,4500,activity_r2,0.9504197502521352,0.9981828095145624
44,held_out,unobserved,all,4500,fluctuation_r2,0.8442010283470154,0.9395956993103027
44,perturbation,unobserved,excitatory,3602,delta_activity_r2,0.8578291008709742,0.9606201220657703
44,perturbation,unobserved,excitatory,3602,delta_fluctuation_r2,0.48483026027679443,0.7626428604125977
44,perturbation,unobserved,inhibitory,674,delta_activity_r2,0.8459277680618823,0.9573615737885288
44,perturbation,unobserved,inhibitory,674,delta_fluctuation_r2,0.5025458931922913,0.7626772522926331
44,perturbation,targeted,inhibitory,224,delta_activity_r2,0.8954624325997009,0.9905794043602559
44,perturbation,targeted,inhibitory,224,delta_fluctuation_r2,0.6123110055923462,0.8338922262191772
