variant,n_free_params,observed_fraction,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
full_connectome,6,0.005,44,held_out,observed,all,25,activity_r2,0.2812805011146954,0.8128845307012508
full_connectome,6,0.005,44,held_out,observed,all,25,fluctuation_r2,0.14390850067138672,0.37282776832580566
full_connectome,6,0.005,44,held_out,unobserved,all,4975,activity_r2,0.22490935114966049,0.9706302795075242
full_connectome,6,0.005,44,held_out,unobserved,all,4975,fluctuation_r2,0.19823729991912842,0.7698693871498108
full_connectome,6,0.01,44,held_out,observed,all,50,activity_r2,-0.05674487680404905,0.9670938700675336
full_connectome,6,0.01,44,held_out,observed,all,50,fluctuation_r2,-0.24760091304779053,0.46803444623947144
full_connectome,6,0.01,44,held_out,unobserved,all,4950,activity_r2,0.015448252024938602,0.9790623374178132
full_connectome,6,0.01,44,held_out,unobserved,all,4950,fluctuation_r2,-0.067496657371521,0.7936995029449463
full_connectome,6,0.02,44,held_out,observed,all,100,activity_r2,0.06330457998957995,0.964679892700867
full_connectome,6,0.02,44,held_out,observed,all,100,fluctuation_r2,-0.1234278678894043,0.5134122967720032
full_connectome,6,0.02,44,held_out,unobserved,all,4900,activity_r2,0.05167770311136466,0.9729974806183171
full_connectome,6,0.02,44,held_out,unobserved,all,4900,fluctuation_r2,-0.032204508781433105,0.7521998286247253
full_connectome,6,0.05,44,held_out,observed,all,250,activity_r2,0.9421163320171023,0.9917058492859802
full_connectome,6,0.05,44,held_out,observed,all,250,fluctuation_r2,0.7277136445045471,0.8142125606536865
full_connectome,6,0.05,44,held_out,unobserved,all,4750,activity_r2,0.9620397131762121,0.9932391001855503
full_connectome,6,0.05,44,held_out,unobserved,all,4750,fluctuation_r2,0.8217813372612,0.8768443465232849
full_connectome,6,0.25,44,held_out,observed,all,1250,activity_r2,0.9763767592338257,0.9993849263560309
full_connectome,6,0.25,44,held_out,observed,all,1250,fluctuation_r2,0.9384522438049316,0.9798092246055603
full_connectome,6,0.25,44,held_out,unobserved,all,3750,activity_r2,0.9774352667086286,0.9993853326886886
full_connectome,6,0.25,44,held_out,unobserved,all,3750,fluctuation_r2,0.9381203651428223,0.9787941575050354
full_connectome,6,0.5,44,held_out,observed,all,2500,activity_r2,0.9867158400572443,0.9998987787282803
full_connectome,6,0.5,44,held_out,observed,all,2500,fluctuation_r2,0.97681725025177,0.9965047836303711
full_connectome,6,0.5,44,held_out,unobserved,all,2500,activity_r2,0.9889756588366468,0.9999280613774816
full_connectome,6,0.5,44,held_out,unobserved,all,2500,fluctuation_r2,0.9789180159568787,0.9966070652008057
configuration_model,6,1.0,45,held_out,observed,all,5000,activity_r2,-0.02871631527562668,1.0
configuration_model,6,1.0,45,held_out,observed,all,5000,fluctuation_r2,-0.010904431343078613,1.0
configuration_model,6,1.0,45,held_out,unobserved,all,0,activity_r2,,
configuration_model,6,1.0,45,held_out,unobserved,all,0,fluctuation_r2,,
configuration_model,6,0.5,44,held_out,observed,all,2500,activity_r2,-0.09919839070401837,0.9998987787282803
configuration_model,6,0.5,44,held_out,observed,all,2500,fluctuation_r2,-0.1454761028289795,0.9965047836303711
configuration_model,6,0.5,44,held_out,unobserved,all,2500,activity_r2,-0.005236282131616088,0.9999280613774816
configuration_model,6,0.5,44,held_out,unobserved,all,2500,fluctuation_r2,-0.07339012622833252,0.9966070652008057
full_connectome,6,1.0,45,held_out,observed,all,5000,activity_r2,1.0,1.0
full_connectome,6,1.0,45,held_out,observed,all,5000,fluctuation_r2,1.0,1.0
full_connectome,6,1.0,45,held_out,unobserved,all,0,activity_r2,,
full_connectome,6,1.0,45,held_out,unobserved,all,0,fluctuation_r2,,
learnt_recurrence,25000002,1.0,45,held_out,observed,all,5000,activity_r2,0.9543322938900584,1.0
learnt_recurrence,25000002,1.0,45,held_out,observed,all,5000,fluctuation_r2,0.7443978190422058,1.0
learnt_recurrence,25000002,1.0,45,held_out,unobserved,all,0,activity_r2,,
learnt_recurrence,25000002,1.0,45,held_out,unobserved,all,0,fluctuation_r2,,
learnt_recurrence,25000002,0.5,44,held_out,observed,all,2500,activity_r2,0.9711890764188992,0.9998987787282803
learnt_recurrence,25000002,0.5,44,held_out,observed,all,2500,fluctuation_r2,0.7382603883743286,0.9965047836303711
learnt_recurrence,25000002,0.5,44,held_out,unobserved,all,2500,activity_r2,-0.23347068443595376,0.9999280613774816
learnt_recurrence,25000002,0.5,44,held_out,unobserved,all,2500,fluctuation_r2,-0.1895771026611328,0.9966070652008057
shuffle_weights,6,1.0,45,held_out,observed,all,5000,activity_r2,-0.01428060837907763,1.0
shuffle_weights,6,1.0,45,held_out,observed,all,5000,fluctuation_r2,-0.0012439489364624023,1.0
shuffle_weights,6,1.0,45,held_out,unobserved,all,0,activity_r2,,
shuffle_weights,6,1.0,45,held_out,unobserved,all,0,fluctuation_r2,,
shuffle_weights,6,0.5,44,held_out,observed,all,2500,activity_r2,-0.0966862175212404,0.9998987787282803
shuffle_weights,6,0.5,44,held_out,observed,all,2500,fluctuation_r2,-0.14863932132720947,0.9965047836303711
shuffle_weights,6,0.5,44,held_out,unobserved,all,2500,activity_r2,-0.0037425751557391695,0.9999280613774816
shuffle_weights,6,0.5,44,held_out,unobserved,all,2500,fluctuation_r2,-0.07599234580993652,0.9966070652008057
full_connectome,6,0.005,44,perturbation,unobserved,excitatory,3981,delta_activity_r2,-0.029000420927990378,0.8581329258697746
full_connectome,6,0.005,44,perturbation,unobserved,excitatory,3981,delta_fluctuation_r2,-0.009467363357543945,0.2955203652381897
full_connectome,6,0.005,44,perturbation,unobserved,inhibitory,746,delta_activity_r2,-0.051504886516671844,0.8613435555990472
full_connectome,6,0.005,44,perturbation,unobserved,inhibitory,746,delta_fluctuation_r2,-0.010407686233520508,0.28470778465270996
full_connectome,6,0.005,44,perturbation,targeted,inhibitory,248,delta_activity_r2,-0.09453833085494501,0.9166275050838821
full_connectome,6,0.005,44,perturbation,targeted,inhibitory,248,delta_fluctuation_r2,-0.022968411445617676,0.4468252658843994
full_connectome,6,0.01,44,perturbation,unobserved,excitatory,3961,delta_activity_r2,-0.017532070448322612,0.8226804142227729
