obs_fraction,n_observed,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
0.5,2500,44,held_out,observed,all,2500,activity_r2,0.9869213464734578,0.9998987787282803
0.5,2500,44,held_out,observed,all,2500,fluctuation_r2,0.9770042896270752,0.9965047836303711
0.5,2500,44,held_out,unobserved,all,2500,activity_r2,0.9890697909802895,0.9999280613774816
0.5,2500,44,held_out,unobserved,all,2500,fluctuation_r2,0.9790369272232056,0.9966070652008057
0.5,2500,45,held_out,observed,all,2500,activity_r2,0.9751480415438672,0.9999623128108336
0.5,2500,45,held_out,observed,all,2500,fluctuation_r2,0.957813560962677,0.9983566999435425
0.5,2500,45,held_out,unobserved,all,2500,activity_r2,0.9602623368559104,0.9999311861979896
0.5,2500,45,held_out,unobserved,all,2500,fluctuation_r2,0.9386153221130371,0.9972561597824097
0.5,2500,46,held_out,observed,all,2500,activity_r2,0.9967719258712946,0.9999190421459915
0.5,2500,46,held_out,observed,all,2500,fluctuation_r2,0.9870942831039429,0.9970271587371826
0.5,2500,46,held_out,unobserved,all,2500,activity_r2,0.9954389793081494,0.9999255618465349
0.5,2500,46,held_out,unobserved,all,2500,fluctuation_r2,0.9854671359062195,0.9972353577613831
0.01,50,44,held_out,observed,all,50,activity_r2,-0.05674487680404905,0.9670938700675336
0.01,50,44,held_out,observed,all,50,fluctuation_r2,-0.24760091304779053,0.46803444623947144
0.01,50,44,held_out,unobserved,all,4950,activity_r2,0.015448252024938602,0.9790623374178132
0.01,50,44,held_out,unobserved,all,4950,fluctuation_r2,-0.067496657371521,0.7936995029449463
0.01,50,45,held_out,observed,all,50,activity_r2,0.6135552374558777,0.9787767999086258
0.01,50,45,held_out,observed,all,50,fluctuation_r2,0.2465205192565918,0.8006484508514404
0.01,50,45,held_out,unobserved,all,4950,activity_r2,0.17874951824244623,0.9823589121544642
0.01,50,45,held_out,unobserved,all,4950,fluctuation_r2,0.04426497220993042,0.8249934911727905
0.01,50,46,held_out,observed,all,50,activity_r2,0.6237907607548571,0.9725098498032089
0.01,50,46,held_out,observed,all,50,fluctuation_r2,0.40345191955566406,0.7216289639472961
0.01,50,46,held_out,unobserved,all,4950,activity_r2,0.6222289538520663,0.9815821066860078
0.01,50,46,held_out,unobserved,all,4950,fluctuation_r2,0.4702566862106323,0.784953236579895
0.02,100,44,held_out,observed,all,100,activity_r2,0.06330457998957995,0.964679892700867
0.02,100,44,held_out,observed,all,100,fluctuation_r2,-0.1234278678894043,0.5134122967720032
0.02,100,44,held_out,unobserved,all,4900,activity_r2,0.05167770311136466,0.9729974806183171
0.02,100,44,held_out,unobserved,all,4900,fluctuation_r2,-0.032204508781433105,0.7521998286247253
0.02,100,45,held_out,observed,all,100,activity_r2,0.8401887533252033,0.9751540327095304
0.02,100,45,held_out,observed,all,100,fluctuation_r2,0.5447572469711304,0.7590780258178711
0.02,100,45,held_out,unobserved,all,4900,activity_r2,0.8648746041364465,0.9872141577789251
0.02,100,45,held_out,unobserved,all,4900,fluctuation_r2,0.6660345792770386,0.8518357276916504
0.02,100,46,held_out,observed,all,100,activity_r2,0.3670528589978238,0.9877948656650747
0.02,100,46,held_out,observed,all,100,fluctuation_r2,0.25808411836624146,0.9025431871414185
0.02,100,46,held_out,unobserved,all,4900,activity_r2,0.06833171636039548,0.9843158020387659
0.02,100,46,held_out,unobserved,all,4900,fluctuation_r2,-0.02575862407684326,0.8311470746994019
0.05,250,44,held_out,observed,all,250,activity_r2,0.9421163320171023,0.9917058492859802
0.05,250,44,held_out,observed,all,250,fluctuation_r2,0.7277136445045471,0.8142125606536865
0.05,250,44,held_out,unobserved,all,4750,activity_r2,0.9620397131762121,0.9932391001855503
0.05,250,44,held_out,unobserved,all,4750,fluctuation_r2,0.8217813372612,0.8768443465232849
0.05,250,45,held_out,observed,all,250,activity_r2,0.106513259299709,0.9982761922907597
0.05,250,45,held_out,observed,all,250,fluctuation_r2,0.03240841627120972,0.939433217048645
0.05,250,45,held_out,unobserved,all,4750,activity_r2,-0.47394188457922537,0.9955561268001749
0.05,250,45,held_out,unobserved,all,4750,fluctuation_r2,-0.4542461633682251,0.8802573680877686
0.05,250,46,held_out,observed,all,250,activity_r2,0.9155648774058432,0.9896401309994719
0.05,250,46,held_out,observed,all,250,fluctuation_r2,0.7775202393531799,0.890730082988739
0.05,250,46,held_out,unobserved,all,4750,activity_r2,0.9294449255598987,0.9903438921532711
0.05,250,46,held_out,unobserved,all,4750,fluctuation_r2,0.7635468244552612,0.8660229444503784
0.1,500,44,held_out,observed,all,500,activity_r2,0.9162696444979976,0.9978092621110016
0.1,500,44,held_out,observed,all,500,fluctuation_r2,0.7978185415267944,0.9200692772865295
0.1,500,44,held_out,unobserved,all,4500,activity_r2,0.9504197502521352,0.9981828095145624
0.1,500,44,held_out,unobserved,all,4500,fluctuation_r2,0.8442010283470154,0.9395956993103027
0.1,500,45,held_out,observed,all,500,activity_r2,0.1336959042776995,0.9983532993229498
0.1,500,45,held_out,observed,all,500,fluctuation_r2,0.07810497283935547,0.9649488925933838
0.1,500,45,held_out,unobserved,all,4500,activity_r2,-0.2737629215104387,0.9950557459189479
0.1,500,45,held_out,unobserved,all,4500,fluctuation_r2,-0.28121161460876465,0.9364771246910095
0.1,500,46,held_out,observed,all,500,activity_r2,0.960024064332304,0.9972116470698086
0.1,500,46,held_out,observed,all,500,fluctuation_r2,0.8065837621688843,0.88189297914505
0.1,500,46,held_out,unobserved,all,4500,activity_r2,0.9606620274003448,0.9956789768707086
0.1,500,46,held_out,unobserved,all,4500,fluctuation_r2,0.8230314254760742,0.8942286968231201
0.25,1250,44,held_out,observed,all,1250,activity_r2,0.9763767592338257,0.9993849263560309
0.25,1250,44,held_out,observed,all,1250,fluctuation_r2,0.9384522438049316,0.9798092246055603
0.25,1250,44,held_out,unobserved,all,3750,activity_r2,0.9774352667086286,0.9993853326886886
0.25,1250,44,held_out,unobserved,all,3750,fluctuation_r2,0.9381203651428223,0.9787941575050354
0.25,1250,45,held_out,observed,all,1250,activity_r2,0.7029063598904637,0.9997209754532808
