weight_noise,noise_clipped_fraction,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
0.0,0.0,44,held_out,observed,all,2500,activity_r2,0.9869213464734578,0.9998987787282803
0.0,0.0,44,held_out,observed,all,2500,fluctuation_r2,0.9770042896270752,0.9965047836303711
0.0,0.0,44,held_out,unobserved,all,2500,activity_r2,0.9890697909802895,0.9999280613774816
0.0,0.0,44,held_out,unobserved,all,2500,fluctuation_r2,0.9790369272232056,0.9966070652008057
0.1,0.09830085059643924,44,held_out,observed,all,2500,activity_r2,0.9739438725636739,0.9998987787282803
0.1,0.09830085059643924,44,held_out,observed,all,2500,fluctuation_r2,0.9512672424316406,0.9965047836303711
0.1,0.09830085059643924,44,held_out,unobserved,all,2500,activity_r2,0.9713006029647158,0.9999280613774816
0.1,0.09830085059643924,44,held_out,unobserved,all,2500,fluctuation_r2,0.9454241394996643,0.9966070652008057
0.2,0.13264962067996627,44,held_out,observed,all,2500,activity_r2,0.9357600304390501,0.9998987787282803
0.2,0.13264962067996627,44,held_out,observed,all,2500,fluctuation_r2,0.8950895667076111,0.9965047836303711
0.2,0.13264962067996627,44,held_out,unobserved,all,2500,activity_r2,0.9251407629859226,0.9999280613774816
0.2,0.13264962067996627,44,held_out,unobserved,all,2500,fluctuation_r2,0.8795806169509888,0.9966070652008057
0.4,0.10121791105775371,44,held_out,observed,all,2500,activity_r2,0.8061910859791529,0.9998987787282803
0.4,0.10121791105775371,44,held_out,observed,all,2500,fluctuation_r2,0.7323717474937439,0.9965047836303711
0.4,0.10121791105775371,44,held_out,unobserved,all,2500,activity_r2,0.7232555005120903,0.9999280613774816
0.4,0.10121791105775371,44,held_out,unobserved,all,2500,fluctuation_r2,0.6528304815292358,0.9966070652008057
0.5,0.04609108789496539,44,held_out,observed,all,2500,activity_r2,0.7095331936004075,0.9998987787282803
0.5,0.04609108789496539,44,held_out,observed,all,2500,fluctuation_r2,0.6305361986160278,0.9965047836303711
0.5,0.04609108789496539,44,held_out,unobserved,all,2500,activity_r2,0.5591306167611759,0.9999280613774816
0.5,0.04609108789496539,44,held_out,unobserved,all,2500,fluctuation_r2,0.49991291761398315,0.9966070652008057
0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9939245779413931,0.9993396584592613
0.0,0.0,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9615604281425476,0.9916563630104065
0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9831425955778255,0.9993146360140089
0.0,0.0,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.9497366547584534,0.9927361607551575
0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9845831617348068,0.9997619566864163
0.0,0.0,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9571144580841064,0.9941699504852295
0.1,0.09830085059643924,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9635175268850424,0.9993396584592613
0.1,0.09830085059643924,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9000744819641113,0.9916563630104065
0.1,0.09830085059643924,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9512793808806363,0.9993146360140089
0.1,0.09830085059643924,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.8828504681587219,0.9927361607551575
0.1,0.09830085059643924,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.97029712314646,0.9997619566864163
0.1,0.09830085059643924,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.8991875648498535,0.9941699504852295
0.2,0.13264962067996627,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.8974895691550874,0.9993396584592613
0.2,0.13264962067996627,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.8082976937294006,0.9916563630104065
0.2,0.13264962067996627,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.8878478363531093,0.9993146360140089
0.2,0.13264962067996627,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.7816749811172485,0.9927361607551575
0.2,0.13264962067996627,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9288984431949495,0.9997619566864163
0.2,0.13264962067996627,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.8053786158561707,0.9941699504852295
0.4,0.10121791105775371,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.6607058562712613,0.9993396584592613
0.4,0.10121791105775371,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.5229618549346924,0.9916563630104065
0.4,0.10121791105775371,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.6312848910533353,0.9993146360140089
0.4,0.10121791105775371,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.401922345161438,0.9927361607551575
0.4,0.10121791105775371,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.6915601208902731,0.9997619566864163
0.4,0.10121791105775371,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.5074436664581299,0.9941699504852295
0.5,0.04609108789496539,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.5603943718548721,0.9993396584592613
0.5,0.04609108789496539,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.40895962715148926,0.9916563630104065
0.5,0.04609108789496539,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.48943865561543864,0.9993146360140089
0.5,0.04609108789496539,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.25639063119888306,0.9927361607551575
0.5,0.04609108789496539,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.4372206908616054,0.9997619566864163
0.5,0.04609108789496539,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.3240633010864258,0.9941699504852295
