reconstructed_fraction,recorded_pool_fraction,neuron_id,seed,source,time_s,group
0.5,0.5,4246,44,teacher,0.126,observed
0.5,0.5,4246,44,teacher,0.16,observed
0.5,0.5,4246,44,teacher,0.382,observed
0.5,0.5,4246,44,teacher,0.463,observed
0.5,0.5,4246,44,teacher,0.532,observed
0.5,0.5,4246,44,teacher,1.046,observed
0.5,0.5,4246,44,teacher,1.193,observed
0.5,0.5,4246,44,teacher,1.552,observed
0.5,0.5,4246,44,teacher,1.601,observed
0.5,0.5,4246,44,teacher,2.52,observed
0.5,0.5,4246,44,teacher,2.579,observed
0.5,0.5,4246,44,teacher,3.34,observed
0.5,0.5,4246,44,teacher,3.456,observed
0.5,0.5,4246,44,teacher,3.618,observed
0.5,0.5,4246,44,teacher,3.639,observed
0.5,0.5,4246,44,teacher,3.651,observed
0.5,0.5,4246,44,teacher,3.662,observed
0.5,0.5,4246,44,teacher,3.675,observed
0.5,0.5,4246,44,teacher,3.691,observed
0.5,0.5,4246,44,teacher,3.719,observed
0.5,0.5,4246,44,teacher,3.734,observed
0.5,0.5,4246,44,teacher,3.746,observed
0.5,0.5,4246,44,teacher,3.764,observed
0.5,0.5,4246,44,teacher,3.863,observed
0.5,0.5,4246,44,teacher,3.899,observed
0.5,0.5,4246,44,teacher,3.942,observed
0.5,0.5,4246,44,teacher,3.979,observed
0.5,0.5,4246,44,teacher,4.741,observed
0.5,0.5,4246,44,teacher,4.783,observed
0.5,0.5,4246,44,teacher,4.806,observed
0.5,0.5,4246,44,teacher,4.832,observed
0.5,0.5,4246,44,teacher,4.848,observed
0.5,0.5,4246,44,teacher,4.866,observed
0.5,0.5,4246,44,teacher,4.883,observed
0.5,0.5,4246,44,teacher,4.908,observed
0.5,0.5,4246,44,teacher,4.923,observed
0.5,0.5,4246,44,teacher,4.947,observed
0.5,0.5,4246,44,teacher,4.987,observed
0.5,0.5,4246,44,student,0.161,observed
0.5,0.5,4246,44,student,0.184,observed
0.5,0.5,4246,44,student,0.257,observed
0.5,0.5,4246,44,student,0.317,observed
0.5,0.5,4246,44,student,0.339,observed
0.5,0.5,4246,44,student,0.379,observed
0.5,0.5,4246,44,student,0.402,observed
0.5,0.5,4246,44,student,0.431,observed
0.5,0.5,4246,44,student,0.446,observed
0.5,0.5,4246,44,student,0.467,observed
0.5,0.5,4246,44,student,0.48,observed
0.5,0.5,4246,44,student,0.492,observed
0.5,0.5,4246,44,student,0.512,observed
0.5,0.5,4246,44,student,0.526,observed
0.5,0.5,4246,44,student,0.535,observed
0.5,0.5,4246,44,student,0.545,observed
0.5,0.5,4246,44,student,1.133,observed
0.5,0.5,4246,44,student,1.157,observed
0.5,0.5,4246,44,student,1.202,observed
0.5,0.5,4246,44,student,2.396,observed
0.5,0.5,4246,44,student,2.479,observed
0.5,0.5,4246,44,student,2.521,observed
0.5,0.5,4246,44,student,3.414,observed
0.5,0.5,4246,44,student,3.492,observed
0.5,0.5,4246,44,student,3.512,observed
0.5,0.5,4246,44,student,3.526,observed
0.5,0.5,4246,44,student,3.542,observed
0.5,0.5,4246,44,student,3.564,observed
0.5,0.5,4246,44,student,3.578,observed
0.5,0.5,4246,44,student,3.592,observed
0.5,0.5,4246,44,student,3.613,observed
0.5,0.5,4246,44,student,3.626,observed
0.5,0.5,4246,44,student,3.643,observed
0.5,0.5,4246,44,student,3.655,observed
0.5,0.5,4246,44,student,3.666,observed
0.5,0.5,4246,44,student,3.682,observed
0.5,0.5,4246,44,student,3.695,observed
0.5,0.5,4246,44,student,3.731,observed
0.5,0.5,4246,44,student,3.748,observed
0.5,0.5,4246,44,student,4.8,observed
0.5,0.5,4246,44,student,4.824,observed
0.5,0.5,4246,44,student,4.841,observed
0.5,0.5,4246,44,student,4.864,observed
0.5,0.5,4246,44,student,4.957,observed
0.5,0.5,4246,44,student,4.977,observed
0.5,0.5,4246,44,student,4.992,observed
0.5,0.5,3327,44,teacher,0.471,heldout
0.5,0.5,3327,44,teacher,1.288,heldout
0.5,0.5,3327,44,student,0.181,heldout
0.5,0.5,3327,44,student,0.424,heldout
0.5,0.5,3327,44,student,0.451,heldout
0.5,0.5,3327,44,student,0.474,heldout
0.5,0.5,3327,44,student,1.084,heldout
0.5,0.5,3327,44,student,1.287,heldout
0.5,0.5,3327,44,student,2.115,heldout
0.5,0.5,3327,44,student,2.296,heldout
0.5,0.5,3327,44,student,2.535,heldout
0.5,0.5,3327,44,student,2.803,heldout
0.5,0.5,3327,44,student,2.962,heldout
0.5,0.5,3327,44,student,3.092,heldout
0.5,0.5,3327,44,student,3.151,heldout
0.5,0.5,3327,44,student,3.211,heldout
0.5,0.5,3327,44,student,3.343,heldout
0.5,0.5,3327,44,student,3.606,heldout
0.5,0.5,3327,44,student,4.198,heldout
0.5,0.5,3327,44,student,4.242,heldout
0.5,0.5,3327,44,student,4.347,heldout
