variant,total_epochs,n_free_params,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
learnt_feedforward,200,12000006,44,held_out,observed,all,2500,activity_r2,0.9725775139244521,0.9999001084661135
learnt_feedforward,200,12000006,44,held_out,observed,all,2500,fluctuation_r2,0.8920882344245911,0.996505856513977
learnt_feedforward,200,12000006,44,held_out,unobserved,all,2500,activity_r2,0.7954745245145849,0.9999280807416051
learnt_feedforward,200,12000006,44,held_out,unobserved,all,2500,fluctuation_r2,0.733387291431427,0.99659264087677
learnt_feedforward,200,12000006,45,held_out,observed,all,2500,activity_r2,0.9771199151337677,0.9999629330560982
learnt_feedforward,200,12000006,45,held_out,observed,all,2500,fluctuation_r2,0.8959278464317322,0.9983589053153992
learnt_feedforward,200,12000006,45,held_out,unobserved,all,2500,activity_r2,0.6716165311500061,0.9999310496804519
learnt_feedforward,200,12000006,45,held_out,unobserved,all,2500,fluctuation_r2,0.6570726633071899,0.9972505569458008
learnt_feedforward,200,12000006,46,held_out,observed,all,2500,activity_r2,0.9761486913033763,0.9999199870924061
learnt_feedforward,200,12000006,46,held_out,observed,all,2500,fluctuation_r2,0.8902217149734497,0.9970261454582214
learnt_feedforward,200,12000006,46,held_out,unobserved,all,2500,activity_r2,0.8050419744063299,0.9999261691979913
learnt_feedforward,200,12000006,46,held_out,unobserved,all,2500,fluctuation_r2,0.7897700071334839,0.9972257018089294
known_input,50,6,44,held_out,observed,all,2500,activity_r2,0.9869213464734578,0.9998987787282803
known_input,50,6,44,held_out,observed,all,2500,fluctuation_r2,0.9770042896270752,0.9965047836303711
known_input,50,6,44,held_out,unobserved,all,2500,activity_r2,0.9890697909802895,0.9999280613774816
known_input,50,6,44,held_out,unobserved,all,2500,fluctuation_r2,0.9790369272232056,0.9966070652008057
known_input,50,6,45,held_out,observed,all,2500,activity_r2,0.9751480415438672,0.9999623128108336
known_input,50,6,45,held_out,observed,all,2500,fluctuation_r2,0.957813560962677,0.9983566999435425
known_input,50,6,45,held_out,unobserved,all,2500,activity_r2,0.9602623368559104,0.9999311861979896
known_input,50,6,45,held_out,unobserved,all,2500,fluctuation_r2,0.9386153221130371,0.9972561597824097
known_input,50,6,46,held_out,observed,all,2500,activity_r2,0.9967719258712946,0.9999190421459915
known_input,50,6,46,held_out,observed,all,2500,fluctuation_r2,0.9870942831039429,0.9970271587371826
known_input,50,6,46,held_out,unobserved,all,2500,activity_r2,0.9954389793081494,0.9999255618465349
known_input,50,6,46,held_out,unobserved,all,2500,fluctuation_r2,0.9854671359062195,0.9972353577613831
learnt_feedforward,200,12000006,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.8733622257850662,0.9993526780950961
